source_md,link,resolved_path,exists
docs/DOCUMENTATION_INDEX.md,internal/archives/API_SECURITY_GUIDE.md,docs/internal/archives/API_SECURITY_GUIDE.md,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/TESTING_FRAMEWORK.md,docs/internal/archives/TESTING_FRAMEWORK.md,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/PRODUCTION_OPERATIONS.md,docs/internal/archives/PRODUCTION_OPERATIONS.md,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/FEATURE_DEVELOPMENT_ARCHIVE.md,docs/internal/archives/FEATURE_DEVELOPMENT_ARCHIVE.md,NO
docs/DOCUMENTATION_INDEX.md,reports/DIAMOND_STANDARD_CERTIFICATION_FINAL.md,docs/reports/DIAMOND_STANDARD_CERTIFICATION_FINAL.md,NO
docs/DOCUMENTATION_INDEX.md,SYSTEM_ORCHESTRATION_FRAMEWORK.md,docs/SYSTEM_ORCHESTRATION_FRAMEWORK.md,NO
docs/03_Standards_and_Policies.md,standards/comprehensive_standards_framework.md,docs/standards/comprehensive_standards_framework.md,YES
docs/03_Standards_and_Policies.md,standards/policy/information_security_policy.md,docs/standards/policy/information_security_policy.md,NO
docs/03_Standards_and_Policies.md,standards/policy/statement_of_applicability.md,docs/standards/policy/statement_of_applicability.md,NO
docs/03_Standards_and_Policies.md,standards/policy/risk_treatment_plan.md,docs/standards/policy/risk_treatment_plan.md,NO
docs/03_Standards_and_Policies.md,standards/procedures/security_incident_response.md,docs/standards/procedures/security_incident_response.md,NO
docs/03_Standards_and_Policies.md,standards/work_instructions/,docs/standards/work_instructions,NO
docs/03_Standards_and_Policies.md,standards/training/compliance_training_materials.md,docs/standards/training/compliance_training_materials.md,YES
docs/04_Operations_and_Deployment.md,deployment/DEPLOYMENT_CHECKLIST.md,docs/deployment/DEPLOYMENT_CHECKLIST.md,NO
docs/04_Operations_and_Deployment.md,deployment/ci-cd.md,docs/deployment/ci-cd.md,NO
docs/04_Operations_and_Deployment.md,deployment/docker.md,docs/deployment/docker.md,NO
docs/04_Operations_and_Deployment.md,KUBERNETES_DEPLOYMENT.md,docs/KUBERNETES_DEPLOYMENT.md,YES
docs/04_Operations_and_Deployment.md,deployment/scaling.md,docs/deployment/scaling.md,NO
docs/04_Operations_and_Deployment.md,deployment/desktop.md,docs/deployment/desktop.md,NO
docs/04_Operations_and_Deployment.md,GITHUB_SECRETS_SETUP.md,docs/GITHUB_SECRETS_SETUP.md,YES
docs/archive/2025/q4/development/enhanced-frontend.md,../reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,docs/archive/2025/q4/reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,YES
docs/archive/2025/q4/development/CROSS_REFERENCE_AUDIT_SUMMARY_2025_12_10.md,.*,docs/archive/2025/q4/development/.*,NO
docs/archive/2025/q4/planning/authentication.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/authentication.md,../00_ARCHITECTURE/00_FRAUD_LOGIC.md,docs/archive/2025/q4/00_ARCHITECTURE/00_FRAUD_LOGIC.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,../reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,docs/archive/2025/q4/reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,spikes/FE_UI_LOADING_STATES_SPIKE.md,docs/archive/2025/q4/planning/spikes/FE_UI_LOADING_STATES_SPIKE.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,../../master_todo.md,docs/archive/2025/master_todo.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_DIAGNOSIS_SUMMARY.md,strategy/onboarding.md,docs/archive/2025/q4/planning/strategy/onboarding.md,NO
docs/archive/2025/q4/planning/collaborative-evidence.md,../reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,docs/archive/2025/q4/reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,YES
docs/archive/2025/q4/planning/settings.md,./../../assets/settings_mockup.png,docs/archive/2025/assets/settings_mockup.png,NO
docs/archive/2025/q4/planning/settings.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/GETTING_STARTED_FINAL.md,first-case.md,docs/archive/2025/q4/planning/first-case.md,YES
docs/archive/2025/q4/planning/GETTING_STARTED_FINAL.md,basic-usage.md,docs/archive/2025/q4/planning/basic-usage.md,YES
docs/archive/2025/q4/planning/GETTING_STARTED_FINAL.md,../architecture/CORE_ARCHITECTURE.md,docs/archive/2025/q4/architecture/CORE_ARCHITECTURE.md,NO
docs/archive/2025/q4/planning/GETTING_STARTED_FINAL.md,../security/SECURITY_FULL.md,docs/archive/2025/q4/security/SECURITY_FULL.md,NO
docs/archive/2025/q4/planning/dashboard.md,./../../assets/dashboard_mockup.png,docs/archive/2025/assets/dashboard_mockup.png,NO
docs/archive/2025/q4/planning/dashboard.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/dashboard.md,../00_ARCHITECTURE/00_DATA_MODELS.md,docs/archive/2025/q4/00_ARCHITECTURE/00_DATA_MODELS.md,NO
docs/archive/2025/q4/planning/basic-usage.md,case-management.md,docs/archive/2025/q4/planning/case-management.md,YES
docs/archive/2025/q4/planning/fraud-analysis.md,reporting.md,docs/archive/2025/q4/planning/reporting.md,YES
docs/archive/2025/q4/planning/reporting.md,./../../assets/report_page_mockup.png,docs/archive/2025/assets/report_page_mockup.png,NO
docs/archive/2025/q4/planning/reporting.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/reporting.md,../00_ARCHITECTURE/00_DATA_MODELS.md,docs/archive/2025/q4/00_ARCHITECTURE/00_DATA_MODELS.md,NO
docs/archive/2025/q4/planning/reporting.md,./08_VISUALIZATION.md,docs/archive/2025/q4/planning/08_VISUALIZATION.md,NO
docs/archive/2025/q4/planning/reporting.md,./03_CASES.md,docs/archive/2025/q4/planning/03_CASES.md,NO
docs/archive/2025/q4/planning/reporting.md,./02_DASHBOARD.md,docs/archive/2025/q4/planning/02_DASHBOARD.md,NO
docs/archive/2025/q4/planning/reporting.md,./06_ADJUDICATION_QUEUE.md,docs/archive/2025/q4/planning/06_ADJUDICATION_QUEUE.md,NO
docs/archive/2025/q4/planning/reporting.md,./10_FRENLY_AI_ASSISTANT.md,docs/archive/2025/q4/planning/10_FRENLY_AI_ASSISTANT.md,NO
docs/archive/2025/q4/planning/adjudication.md,../../assets/adjudication_mockup.png,docs/archive/2025/assets/adjudication_mockup.png,NO
docs/archive/2025/q4/planning/adjudication.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/adjudication.md,../00_ARCHITECTURE/00_DATA_MODELS.md,docs/archive/2025/q4/00_ARCHITECTURE/00_DATA_MODELS.md,NO
docs/archive/2025/q4/planning/adjudication.md,../00_ARCHITECTURE/00_FRAUD_LOGIC.md,docs/archive/2025/q4/00_ARCHITECTURE/00_FRAUD_LOGIC.md,NO
docs/archive/2025/q4/planning/FRAUD_ORCHESTRATION.md,./FEATURE_ORGANIZATION.md,docs/archive/2025/q4/planning/FEATURE_ORGANIZATION.md,YES
docs/archive/2025/q4/planning/FRAUD_ORCHESTRATION.md,./CROSS_PAGE_INTEGRATION.md,docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,YES
docs/archive/2025/q4/planning/FRAUD_ORCHESTRATION.md,../features/ai-assistant.md,docs/archive/2025/q4/features/ai-assistant.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,../reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,docs/archive/2025/q4/reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,spikes/FE_UI_LOADING_STATES_SPIKE.md,docs/archive/2025/q4/planning/spikes/FE_UI_LOADING_STATES_SPIKE.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,spikes/FE_UI_LOADING_STATES_SPIKE.md,docs/archive/2025/q4/planning/spikes/FE_UI_LOADING_STATES_SPIKE.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,../reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,docs/archive/2025/q4/reports/FE_UI_LOADING_STATES_IMPLEMENTATION_DIAGNOSIS_2025_12_10.md,YES
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,../../master_todo.md,docs/archive/2025/master_todo.md,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,../design-system/,docs/archive/2025/q4/design-system,NO
docs/archive/2025/q4/planning/FE_UI_LOADING_STATES_IMPLEMENTATION_INSTRUCTIONS.md,../architecture/ui-design.md,docs/archive/2025/q4/architecture/ui-design.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,../00_ARCHITECTURE/00_FRAUD_LOGIC.md,docs/archive/2025/q4/00_ARCHITECTURE/00_FRAUD_LOGIC.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,../../architecture/06_ai_orchestration_spec.md,docs/archive/2025/architecture/06_ai_orchestration_spec.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,../../architecture/16_frenly_ai_design_orchestration.md,docs/archive/2025/architecture/16_frenly_ai_design_orchestration.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,./ADJUDICATION_QUEUE.md,docs/archive/2025/q4/planning/ADJUDICATION_QUEUE.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,./DASHBOARD.md,docs/archive/2025/q4/planning/DASHBOARD.md,YES
docs/archive/2025/q4/planning/ai-assistant.md,./CASE_DETAIL.md,docs/archive/2025/q4/planning/CASE_DETAIL.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,user-guides/ai-training.md,docs/archive/2025/q4/planning/user-guides/ai-training.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,user-guides/evidence-processing.md,docs/archive/2025/q4/planning/user-guides/evidence-processing.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,user-guides/search-features.md,docs/archive/2025/q4/planning/user-guides/search-features.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,user-guides/collaboration.md,docs/archive/2025/q4/planning/user-guides/collaboration.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,api-docs/ai-endpoints.md,docs/archive/2025/q4/planning/api-docs/ai-endpoints.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,api-docs/websocket-protocol.md,docs/archive/2025/q4/planning/api-docs/websocket-protocol.md,NO
docs/archive/2025/q4/planning/ai-assistant.md,api-docs/search-api.md,docs/archive/2025/q4/planning/api-docs/search-api.md,NO
docs/archive/2025/q4/planning/advanced-intelligence.md,../reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,docs/archive/2025/q4/reports/ENHANCED_FRONTEND_PROPOSAL_SYNCHRONIZED_2025_12_11.md,YES
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/adjudication.md,docs/archive/2025/q4/planning/features/adjudication.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/ai-assistant.md,docs/archive/2025/q4/planning/features/ai-assistant.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/authentication.md,docs/archive/2025/q4/planning/features/authentication.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/cases.md,docs/archive/2025/q4/planning/features/cases.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/dashboard.md,docs/archive/2025/q4/planning/features/dashboard.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/desktop-experience.md,docs/archive/2025/q4/planning/features/desktop-experience.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/error-handling.md,docs/archive/2025/q4/planning/features/error-handling.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/evidence-and-forensics.md,docs/archive/2025/q4/planning/features/evidence-and-forensics.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/reconciliation.md,docs/archive/2025/q4/planning/features/reconciliation.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/reporting.md,docs/archive/2025/q4/planning/features/reporting.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/settings.md,docs/archive/2025/q4/planning/features/settings.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/visualization.md,docs/archive/2025/q4/planning/features/visualization.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/../assets/cases_mockup.png,docs/archive/2025/q4/planning/assets/cases_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/../assets/dashboard_mockup.png,docs/archive/2025/q4/planning/assets/dashboard_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/../assets/evidence_mockup.png,docs/archive/2025/q4/planning/assets/evidence_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/../assets/investigation_mockup.png,docs/archive/2025/q4/planning/assets/investigation_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./features/../assets/settings_mockup.png,docs/archive/2025/q4/planning/assets/settings_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./../assets/[feature]_mockup.png,docs/archive/2025/q4/assets/[feature]_mockup.png,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./FEATURE_ORGANIZATION.md,docs/archive/2025/q4/planning/FEATURE_ORGANIZATION.md,YES
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,./MASTER_ROADMAP.md,docs/archive/2025/q4/planning/MASTER_ROADMAP.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,../../master_plan.md,docs/archive/2025/master_plan.md,NO
docs/archive/2025/q4/planning/CROSS_PAGE_INTEGRATION.md,../../master_todo.md,docs/archive/2025/master_todo.md,NO
docs/archive/2025/q4/planning/reconciliation.md,./../../assets/reconciliation_mockup.png,docs/archive/2025/assets/reconciliation_mockup.png,NO
docs/archive/2025/q4/planning/reconciliation.md,../00_ARCHITECTURE/00_TECH_STACK.md,docs/archive/2025/q4/00_ARCHITECTURE/00_TECH_STACK.md,NO
docs/archive/2025/q4/planning/reconciliation.md,../00_ARCHITECTURE/00_FRAUD_LOGIC.md,docs/archive/2025/q4/00_ARCHITECTURE/00_FRAUD_LOGIC.md,NO
docs/archive/2025/q4/planning/reconciliation.md,./06_ADJUDICATION_QUEUE.md,docs/archive/2025/q4/planning/06_ADJUDICATION_QUEUE.md,NO
docs/archive/2025/q4/planning/reconciliation.md,./04_INGESTION.md,docs/archive/2025/q4/planning/04_INGESTION.md,NO
docs/archive/2025/q4/planning/reconciliation.md,./05_FORENSICS.md,docs/archive/2025/q4/planning/05_FORENSICS.md,NO
docs/archive/2025/q4/planning/reconciliation.md,./08_VISUALIZATION.md,docs/archive/2025/q4/planning/08_VISUALIZATION.md,NO
docs/archive/2025/q4/planning/first-case.md,basic-usage.md,docs/archive/2025/q4/planning/basic-usage.md,YES
docs/archive/2025/q4/planning/first-case.md,basic-usage.md,docs/archive/2025/q4/planning/basic-usage.md,YES
docs/archive/2025/q4/planning/legacy-diagnosis.md,00_STRATEGY_DIAGNOSIS.md,docs/archive/2025/q4/planning/00_STRATEGY_DIAGNOSIS.md,NO
docs/archive/2025/q4/planning/legacy-diagnosis.md,00_STRATEGY_USER_JOURNEY.md,docs/archive/2025/q4/planning/00_STRATEGY_USER_JOURNEY.md,NO
docs/archive/2025/q4/planning/legacy-diagnosis.md,00_STRATEGY_FRAUD_MECHANICS.md,docs/archive/2025/q4/planning/00_STRATEGY_FRAUD_MECHANICS.md,NO
docs/archive/2025/q4/planning/legacy-diagnosis.md,00_STRATEGY_INTERACTIVITY.md,docs/archive/2025/q4/planning/00_STRATEGY_INTERACTIVITY.md,NO
