Original path|Title|H2 headings|Target location|Proposed subsection heading|Action|Note|Estimated lines added to target if merged
standards/policy/risk_treatment_plan.md|Risk Treatment Plan for 378x492 Fraud Detection Platform|Document Information,1. Introduction,2. Risk Assessment Summary|docs/03_Standards_and_Policies.md|Risk Treatment Plan|move-as-detailed|Policy/risk treatment; preserve verbatim|0
standards/procedures/security_incident_response.md|Security Incident Response Procedures|Document Information,1. Purpose,2. Scope,3. Incident Classification|docs/03_Standards_and_Policies.md|Security Incident Response Procedures|move-as-detailed|Procedural/policy document — treat as detailed policy; preserve|0
standards/procedures/compliance_implementation_procedures.md|Compliance Implementation Procedures|Document Information,1. Purpose,2. Scope,3. Responsibilities|docs/03_Standards_and_Policies.md|Compliance Implementation Procedures|move-as-detailed|Policy/procedure — preserve verbatim|0
standards/work_instructions/access_control_implementation.md|Work Instructions: Access Control Implementation|Document Information,1. Purpose,2. Scope,3. Prerequisites|docs/standards/work_instructions/access_control_implementation.md|Access Control Implementation (Work Instruction)|move-as-detailed|Operational work instruction — keep in standards/work_instructions|0
standards/training/compliance_training_materials.md|Compliance Training Materials|Document Information,1. Introduction,2. Training Overview,3. Core Training Modules|docs/03_Standards_and_Policies.md|Compliance Training Materials|move-as-detailed|Training materials (policy-adjacent) — preserve verbatim|0
standards/records/compliance_audit_findings.md|Records: Compliance Audit Findings|Document Information,Record Details,1. Audit Overview|docs/03_Standards_and_Policies.md|Compliance Audit Findings|move-as-detailed|Audit findings record — legal/compliance; preserve verbatim|0
deployment/DEPLOYMENT_CHECKLIST.md|Production Deployment Checklist|Security Configuration,File System,Application Setup|docs/04_Operations_and_Deployment.md|Production Deployment Checklist|move-as-detailed|Operational checklist — keep detailed in deployment folder|0
deployment/ci-cd.md|CI/CD Pipeline Documentation|Overview,Workflow Summary,CI/CD Pipeline (`build-test.yml`)|docs/04_Operations_and_Deployment.md|CI/CD Pipeline|move-as-detailed|Long CI/CD doc (large) — detailed ops content, keep in deployment|0
deployment/docker.md|🐳 Docker Deployment Guide|Docker Architecture,Quick Start with Docker Compose,Production Deployment|docs/04_Operations_and_Deployment.md|Docker Deployment Guide|move-as-detailed|Docker deploy guide — operational; preserve in deployment|0
deployment/production.md|Production Deployment Guide|Production Architecture,Infrastructure Requirements,Security Hardening|docs/04_Operations_and_Deployment.md|Production Deployment Guide|move-as-detailed|Comprehensive production guide — preserve detailed|0
deployment/scaling.md|Scaling Guide|Scaling Principles,Vertical Scaling,Horizontal Scaling|docs/04_Operations_and_Deployment.md|Scaling Guide|move-as-detailed|Long scaling handbook — keep detailed in deployment|0
deployment/desktop.md|Desktop Application Deployment|Build Process,Packaging & Distribution,Code Signing|docs/04_Operations_and_Deployment.md|Desktop Application Deployment|move-as-detailed|Electron desktop deployment — operational; keep detailed|0
deployment/user-management.md|User Management Guide|User Roles & Permissions,Creating & Managing Users,RBAC|docs/06_User_Guides.md|User Management Guide|move-as-detailed|Operational user/admin guide — keep under deployment/users or administrators|0
deployment/orchestration_plan_archived.md|Master TODO Orchestration Guide - 378x492 Fraud Detection|Overview,Current Status,Implementation History|docs/internal/archives/orchestration_plan_archived.md|Orchestration Plan (archived)|archive|Marked archived in filename; archive to internal/archives|0
KUBERNETES_DEPLOYMENT.md|Kubernetes Deployment Configuration|Overview,Deployment Architecture,Manifests (Namespace,ConfigMap)|docs/04_Operations_and_Deployment.md|Kubernetes Deployment Configuration|move-as-detailed|Kubernetes manifests & ops — detailed deployment content|0
SYSTEM_ORCHESTRATION_FRAMEWORK.md|Unified System Diagnosis & Orchestration Framework|Executive Summary,Framework Architecture,Dimensional Analysis Matrix|docs/01_Project.md|System Orchestration Framework|move-as-detailed|Framework/diagnostic strategy — long, keep as project-level detailed doc|0
PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md|Plugin Architecture Migration Plan: Complete Documentation|Executive Summary,Current Architecture Analysis,Proposed Plugin Architecture|docs/05_Architecture_and_Design.md|Plugin Architecture Migration Plan|move-as-detailed|Large architecture/migration plan — preserve detailed|0
API_DOCUMENTATION.md|API Documentation|Overview,Authentication,Core Resources|docs/02_Developer_Guide.md|API Documentation (summary)|move-as-detailed|Developer reference; keep as detailed API doc|0
project/master_plan.md|Master Plan & Strategy - Simple378 Fraud Detection|Documentation Sync Status,Project Charter,Completion Dashboard|docs/01_Project.md|Master Plan & Strategy|move-as-detailed|Core project strategic plan — large; keep detailed in project folder|0
project/master_todo.md|Master TODO Checklist - 378x492 Fraud Detection|Documentation Sync Status,Project Status Dashboard,Phase Roadmap|docs/01_Project.md|Master TODO Checklist|merge-into-index|Project checklist; summarize into project index (short entry)|4
project/roadmap.md|Product Roadmap & Vision|Product Vision,Implementation Phases,Future Roadmap|docs/01_Project.md|Product Roadmap & Vision|merge-into-index|Roadmap summary; useful index entry|5
project/PERFECTION_ROADMAP.md|Perfection Roadmap: IMPLEMENTED & VERIFIED|1. Architecture: The "Last Mile",2. Security: Fortress Grade,3. Frontend: True Gold Standard|docs/01_Project.md|Perfection Roadmap — Summary|move-as-detailed|Strategic/perfection report — long; keep detailed|0
project/PROJECT_COMPLETION_FINAL.md|Project Completion Final Report|Executive Summary,Key Achievements,Quality & Testing|docs/07_Reports.md|Project Completion — Final Report|merge-into-index|Final project completion summary — include short summary in reports|5
users/README.md|User Guide|Quick Start,Core Workflows,Interactive Tutorials|docs/06_User_Guides.md|User Guide — Overview|move-as-detailed|User guide index — keep under users subfolder|0
users/getting-started.md|🚀 Getting Started with 378x492 Fraud Detection|Secure Login,Dashboard Overview,Your First Case|docs/06_User_Guides.md|Getting Started|move-as-detailed|User onboarding guide — detailed file under users|0
users/tutorials/first-case.md|🎥 First Case Investigation Tutorial|Tutorial Overview,Step 1: Alert Triage,Step 2: Case Creation|docs/06_User_Guides.md|First Case Investigation Tutorial|move-as-detailed|Tutorial content — keep as a detailed user tutorial|0
users/tutorials/fraud-analysis.md|🎥 Advanced Fraud Analysis Tutorial|AI Persona Mastery,Advanced Visualization,Cross-Case Intelligence|docs/06_User_Guides.md|Advanced Fraud Analysis Tutorial|move-as-detailed|Advanced tutorial — keep in users/tutorials|0
users/cases.md|Case Management Guide|Case Management Overview,Investigation Workflow,Adjudication Process|docs/06_User_Guides.md|Case Management Guide|move-as-detailed|User-facing case management guide — detailed|0
users/troubleshooting.md|🔧 Troubleshooting Guide|Getting Started Issues,Dashboard Problems,Case Management Issues|docs/06_User_Guides.md|Troubleshooting Guide|move-as-detailed|Troubleshooting guide — detailed user doc|0
reports/consolidated_reports.md|consolidated_reports||docs/internal/archives/reports/consolidated_reports.md|Consolidated Reports|archive|Merged/archival reports — move to archives (preserve)|0
project/IMPLEMENTATION_RECORD.md|Implementation Record - 378x492 Fraud Detection Platform|Document Information,Phase Implementation Summary,Critical Fixes & Bug Resolution|docs/01_Project.md|Implementation Record (Consolidated)|move-as-detailed|Comprehensive implementation record — preserve detailed|0
internal/DOCUMENTATION_INDEX.md|378x492 Fraud Detection Platform Documentation (index)|New Audience-Centric Organization,Quick Navigation,Preserved Content|docs/DOCUMENTATION_INDEX.md|Documentation Index|merge-into-index|Central documentation index — merge short summary|3
